Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Molybdenum,95.95,Carbon Nitride,Carbon Nitride,0.08%,N,2,150,-0.246,Tetracycline,TC,Antibiotic,444.43,30,0.525,0,-0.847,No Oxidant,0,0,0,1,1,0,0.05953,0.013,92.10%,90,0.589152,-0.23,0.000690773,300W Xe lamp,High (>300W),85.50%,6,0.96915,-0.01361,Photocatalysis,10.1021/acsanm.4c02909
Cobalt,58.933,Molybdenum disulfide (MoS2),Metal Sulfides,4.80%,N,4,200,-0.027,Atrazine,ATZ,Pesticide,215.68,20,0.06,200,0.023,PMS,1,1,1,1,1,0,0.358,0.134,100%,20,0.028463,-1.546,0.004636499,No Light,No Light,95.30%,3,0.97622,-0.01045,PMS,10.1016/j.apsusc.2024.160066 
Vanadium,50.942,Carbon Nitride,Carbon Nitride,0.10%,Mixed,,1500,5.665,Ciprofloxacin,CIP,Antibiotic,331.34,5,-0.636,400,0.893,PMS,1,1,0,0,1,0,0.051,0.02,73%,40,0.009353,-2.029,0.000275397,No Light,No Light,82%,4,0.93599,-0.02873,PMS,10.1016/j.jece.2023.111035 
Iron,55.845,"O, N-doped biochar",Carbon,1.30%,Mixed,4,100,-0.465,Acid Orange 7,AO7,Dye,350.32,20,0.06,500,1.328,PMS,1,0,0,0,1,0,1.5,0.009,99%,5,0.485592,-0.314,0.011303951,No Light,No Light,100%,10,1,0,PMS,10.1021/acsami.3c12518 
Copper,63.546,N-doped biochar,Carbon,9.20%,N,3,150,-0.246,4-Chlorophenol,4-CP,Phenolic,128.56,20,0.06,152,-0.186,PMS,1,0,0,1,1,0,0.0805,1.143,100%,60,0.011939,-1.923,0.002592823,No Light,No Light,40%,3,0.63246,-0.19897,PMS,10.1016/j.jece.2024.114500
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,1.28%,Mixed,5,100,-0.465,Ibuprofen,IBU,Pharmaceutical,206.29,15,-0.172,45.5,-0.649,PMS,1,0,1,0,0,0,0.135,0.095,100%,45,0.070498,-1.152,0.001615848,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.cej.2022.138469 
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,1.28%,Mixed,5,100,-0.465,Ibuprofen,IBU,Pharmaceutical,206.29,15,-0.172,45.5,-0.649,PMS,1,0,1,0,0,0,,NIL,100%,45,0.070498,-1.152,0.001615848,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.cej.2022.138469 
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,1.28%,Mixed,5,100,-0.465,Ibuprofen,IBU,Pharmaceutical,206.29,15,-0.172,45.5,-0.649,PMS,1,0,1,0,0,0,,NIL,100%,45,0.070498,-1.152,0.001615848,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.cej.2022.138469 
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,1.28%,Mixed,5,100,-0.465,Ibuprofen,IBU,Pharmaceutical,206.29,15,-0.172,45.5,-0.649,PMS,1,0,1,0,0,0,,NIL,100%,45,0.070498,-1.152,0.001615848,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.cej.2022.138469 
Iron,55.845,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,1.28%,Mixed,5,100,-0.465,Ibuprofen,IBU,Pharmaceutical,206.29,15,-0.172,45.5,-0.649,PMS,1,0,1,0,0,0,,NIL,100%,45,0.070498,-1.152,0.001615848,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.cej.2022.138469 
Iron,55.845,Hollow porous C nanospheres,Carbon,0.04%,N,4,40,-0.728,Ciprofloxacin,CIP,Antibiotic,331.34,6.6,-0.562,95,-0.434,PMS,1,1,1,0,1,0,0.455,0.001,100%,10,6.952394,0.842,0.001991912,No Light,No Light,80%,5,0.94574,-0.02423,PMS,10.1016/j.apcatb.2025.126266
