Metal Atom,Atomic Mass of Metal,Support Material,Support Material Class,Metal Loading,Coord Env,Coord Num,Initial Conc of Catalyst,Normalised Conc of Catalyst,Pollutant,Pollutant Code,Pollutant Class,Molar Mass of Pollutant,Initial Conc of Pollutant,Normalised Conc of Pollutant,Initial Conc of Oxidant,Normalised Conc of Oxidant,Oxidant,Has non-rad,Has SO4,Has OH,Has O2,Has 1O2,Has h+,Rate Constant,Normalised Rate Constant,Degradation Efficiency,Experiment Time,Turnover Rate,Log(TOF),Pollutants degraded per min,Power of Light,Power of Light Class,Catalyst Reusablility,Reusablilty Cycles,Retention Per Cycle,Log_retention,AOP technique,DOI
Iron,55.845,Carbon Nitride,Carbon Nitride,6.82%,Mixed,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,10,-0.404,200,0.023,PMS,1,1,1,0,1,0,4.435,0.015,99.90%,1,0.179163,-0.747,0.04376013,No Light,No Light,98%,6,0.99597,-0.00175,PMS,10.1021/acsestengg.4c00400
Iron,55.845,Carbon Nitride,Carbon Nitride,6.82%,Mixed,4,200,-0.027,Sulfadiazine,SDZ,Antibiotic,250.28,10,-0.404,200,0.023,PMS,1,1,1,0,1,0,0.403,0.169,99.90%,6,0.027237,-1.565,0.006652549,No Light,No Light,98%,6,0.99597,-0.00175,PMS,10.1021/acsestengg.4c00400
Silver,107.87,Graphite Carbon Nitride (g-C3N4) and Molybdenum disulfide (MoS2),Heterostructure,10.00%,N,,200,-0.027,Tetracycline,TC,Antibiotic,444.43,20,0.06,11.3,-0.798,PMS,0,1,1,1,0,0,0.0837,1.195,98.90%,50,0.004801,-2.319,0.000890129,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.apsusc.2020.146076
Copper,63.546,Carbon Nitride,Carbon Nitride,0.99%,N,2,750,2.381,Methylene Blue,MB,Dye,319.85,15,-0.172,0,-0.847,No Oxidant,0,0,1,0,0,0,0.1,0.099,100%,5,0.080272,-1.095,0.009379397,8W UVC lamp,Low (<50W),64%,5,0.89443,-0.04846,Photocatalysis,10.1039/d3ra06109d
Copper,63.546,Carbon Nitride,Carbon Nitride,0.99%,N,2,750,2.381,Congo Red,CR,Dye,696.66,15,-0.172,0,-0.847,No Oxidant,0,0,1,0,0,0,0.02,0.495,99%,30,0.006081,-2.216,0.000710533,8W UVC lamp,Low (<50W),70%,5,0.91469,-0.03873,Photocatalysis,10.1039/d3ra06109d
Iron,55.845,N-doped porous carbon,Carbon,2.17%,N,4,50,-0.684,Rhodamine B,RhB,Dye,479.02,25,0.293,40,-0.673,PMS,1,1,1,0,1,0,19.66,0.001,100%,0.5,5.372432,0.73,0.104379775,No Light,No Light,90%,3,0.94868,-0.02288,PMS,10.1002/smll.202104941
Iron,55.845,N-doped porous carbon,Carbon,2.17%,N,4,50,-0.684,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,40,-0.673,PMS,1,1,1,0,1,0,,NIL,94.20%,10,0.146329,-0.835,0.002843001,No Light,No Light,,,,,PMS,10.1002/smll.202104941
Iron,55.845,N-doped porous carbon,Carbon,2.17%,N,4,50,-0.684,Bisphenol A,BPA,Phenolic,228.29,20,0.06,40,-0.673,PMS,1,1,1,0,1,0,,NIL,100%,6,0.75153,-0.124,0.014601311,No Light,No Light,,,,,PMS,10.1002/smll.202104941
Iron,55.845,N-doped porous carbon,Carbon,4.92%,N,4.01,200,-0.027,Tetracycline,TC,Antibiotic,444.43,20,0.06,95,-0.434,PMS,1,1,1,1,1,1,,NIL,91%,20,0.011621,-1.935,0.002047567,No Light,No Light,75.23%,4,0.90949,-0.0412,PMS,10.1016/j.cej.2025.171819
Iron,55.845,N-doped biochar,Carbon,3.86%,N,,200,-0.027,Phenol,PE,Phenolic,94.11,20,0.06,38,-0.682,PMS,0,1,1,1,1,0,,NIL,100%,10,0.153731,-0.813,0.021251727,No Light,No Light,90%,4,0.96549,-0.01525,PMS,10.1016/j.solidstatesciences.2025.107860
Iron,55.845,N-doped biochar,Carbon,3.86%,N,,200,-0.027,Phenol,PE,Phenolic,94.11,20,0.06,38,-0.682,PMS,0,1,1,1,1,0,,NIL,100%,10,0.153731,-0.813,0.021251727,No Light,No Light,90%,5,0.974,-0.01144,PMS,10.1016/j.solidstatesciences.2025.107860
Copper,63.546,N-doped Carbon Cellulose,Carbon,4.08%,N,3.8,200,-0.027,Oxytetracycline,OTC,Antibiotic,460.43,10,-0.404,9.7,-0.805,PMS,0,1,1,0,1,0,,NIL,96.47%,60,0.002719,-2.566,0.000349203,No Light,No Light,63.98%,3,0.79987,-0.09698,PMS,10.1016/j.cej.2022.138194
Iron,55.845,N-doped porous carbon,Carbon,,N,,30,-0.772,Zearalenone,ZEN,Natural Pollutant,318.36,1,-0.822,96,-0.429,PMS,1,1,1,1,1,0,0.0514,NIL,99.39%,60,NIL,NIL,5.20E-05,No Light,No Light,66.40%,3,0.81486,-0.08892,PMS,10.1016/j.mtcomm.2025.111601
Iron,55.845,N-doped porous carbon,Carbon,2.69%,N,6,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,10,-0.404,76,-0.516,PMS,1,1,1,0,0,0,0.615,0.044,99%,5,0.180057,-0.745,0.008673179,No Light,No Light,55%,4,0.81932,-0.08655,PMS,10.1016/j.apcatb.2019.118350
Iron,55.845,N-doped porous carbon,Carbon,0.38%,N,4,50,-0.684,Tetracycline,TC,Antibiotic,444.43,25,0.293,200,0.023,PMS,1,1,1,1,1,0,0.051,0.075,92%,40,0.380273,-0.42,0.001293792,No Light,No Light,92.40%,5,0.98043,-0.00858,PMS,10.1021/acsami.4c22908
Cobalt,58.933,N-doped porous carbon,Carbon,2.30%,N,4,5,-0.881,Benzotriazole,BZTA,Industrial Pollutant,119.12,0.54,-0.843,38,-0.682,PMS,1,1,1,1,1,0,0.156,0.147,,,NIL,NIL,NIL,No Light,No Light,,,,,PMS,10.1002/smll.202409803
Cobalt,58.933,N-doped porous carbon,Carbon,2.30%,N,4,5,-0.881,Benzotriazole,BZTA,Industrial Pollutant,119.12,0.54,-0.843,38,-0.682,PMS,1,1,1,1,1,0,0.2,0.115,95%,3600,0.000613,-3.213,1.20E-06,No Light,No Light,,,,,PMS,10.1002/smll.202409803
Cobalt,58.933,N-doped porous carbon,Carbon,2.30%,N,4,5,-0.881,Benzotriazole,BZTA,Industrial Pollutant,119.12,0.54,-0.843,38,-0.682,PMS,1,1,1,1,1,0,0.18,0.128,,,NIL,NIL,NIL,No Light,No Light,,,,,PMS,10.1002/smll.202409803
Cobalt,58.933,N-doped porous carbon,Carbon,2.30%,N,4,5,-0.881,Benzotriazole,BZTA,Industrial Pollutant,119.12,0.54,-0.843,38,-0.682,PMS,1,1,1,1,1,0,0.121,0.19,100%,3600,0.000645,-3.19,1.26E-06,No Light,No Light,,,,,PMS,10.1002/smll.202409803
Cobalt,58.933,Carbon Nitride,Carbon Nitride,1.28%,N,2.6,300,0.411,Oxytetracycline,OTC,Antibiotic,460.43,20,0.06,0,-0.847,No Oxidant,0,0,0,1,1,1,0.038,0.337,75.70%,40,0.012616,-1.899,0.000822058,300W Xe lamp,High (>300W),95%,4,0.98305,-0.00743,Photocatalysis,10.1002/smll.202001634
Bismuth,208.98,Mesoporous anatase TiO2,Metal Oxides,0.50%,O,4.17,300,0.411,Formaldehyde,CH2O,Industrial Pollutant,30.03,50,1.454,0,-0.847,No Oxidant,0,0,1,1,1,0,0.161,0.031,93%,16,13.483142,1.13,0.096778222,300W Xe lamp,High (>300W),90%,6,0.97915,-0.00915,Photocatalysis,10.1016/j.seppur.2024.128635
Cobalt,58.933,N-doped porous carbon,Carbon,0.80%,N,4.08,100,-0.465,Levofloxacin,LEV,Antibiotic,361.37,20,0.06,190,-0.02,PMS,1,1,1,1,1,0,0.175,0.046,98%,20,0.199776,-0.699,0.002711902,300W Xe lamp,High (>300W),100%,5,1,0,Photo-PMS,10.1016/j.jcis.2024.08.194
Ruthenium,101.07,Zinc-aluminium layered double hydroxides,Layered Hydroxide,0.20%,O,,50,-0.684,Tetracycline,TC,Antibiotic,444.43,10,-0.404,50,-0.63,PMS,0,1,1,1,0,1,,NIL,100%,1,22.741489,1.357,0.022500731,420nm Xe lamp,High (>300W),96%,4,0.98648,-0.00591,Photo-PMS,10.1016/j.jenvman.2024.120156
Iron,55.845,Pyrazole metal-organic framework MOFs,MOF/COF,,N,4,200,-0.027,Tetracycline,TC,Antibiotic,444.43,40,0.989,170,-0.107,H2O2,1,1,1,1,1,0,0.294,NIL,98.36%,10,NIL,NIL,0.008852688,No Light,No Light,82.02%,5,0.95166,-0.02152,PMS,10.1016/j.jcis.2024.11.004 
Iron,55.845,Pyrazole metal-organic framework MOFs,MOF/COF,,N,4,200,-0.027,Tetracycline,TC,Antibiotic,444.43,40,0.989,62,-0.577,PMS,1,1,1,1,1,0,0.237,NIL,97.01%,10,NIL,NIL,0.008731184,No Light,No Light,90.92%,5,0.97648,-0.01034,PMS,10.1016/j.jcis.2024.11.004 
Cobalt,58.933,N-doped porous carbon,Carbon,0.28%,N,3,100,-0.465,Norfloxacin,NOR,Antibiotic,319.33,10,-0.404,190,-0.02,PMS,1,0,0,0,0,0,0.173,0.016,98.50%,30,0.216409,-0.665,0.001028194,No Light,No Light,87%,5,0.96578,-0.01512,PMS,10.1016/j.jhazmat.2023.131622
Cobalt,58.933,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,3.24%,Mixed,,100,-0.465,Phenol,PE,Phenolic,94.11,15,-0.172,61,-0.582,PMS,1,0,0,0,1,0,0.76,0.043,99%,5,0.57403,-0.241,0.031558814,No Light,No Light,65%,3,0.80623,-0.09354,PMS,10.1016/j.cej.2025.165195
Cobalt,58.933,O-doped Graphite Carbon Nitride (g-C3N4),Carbon Nitride,3.24%,Mixed,,100,-0.465,"2,4-Dichlorophenol",24DCP,Phenolic,163,15,-0.172,61,-0.582,PMS,1,0,0,0,0,0,0.76,0.043,99%,5,0.331423,-0.48,0.018220859,No Light,No Light,65%,3,0.80623,-0.09354,PMS,10.1016/j.cej.2025.165195
Iron,55.845,Imine-based COFs,MOF/COF,0.20%,O,,200,-0.027,Ciprofloxacin,CIP,Antibiotic,331.34,10,-0.404,200,0.023,PMS,0,1,1,1,0,1,0.0402,0.05,86.35%,60,0.06064,-1.217,0.000434347,300W Xe lamp,High (>300W),90.83%,4,0.96845,-0.01392,Photo-PMS,10.1016/j.cej.2025.162623
Iron,55.845,Imine-based COFs,MOF/COF,0.20%,O,,200,-0.027,Rhodamine B,RhB,Dye,479.02,10,-0.404,200,0.023,PMS,0,1,1,1,0,1,0.0402,0.05,99.94%,60,0.048547,-1.314,0.000347724,300W Xe lamp,High (>300W),90.83%,4,0.96845,-0.01392,Photo-PMS,10.1016/j.cej.2025.162623
Iron,55.845,Imine-based COFs,MOF/COF,0.20%,O,,200,-0.027,Tetracycline,TC,Antibiotic,444.43,10,-0.404,200,0.023,PMS,0,1,1,1,0,1,0.0402,0.05,90.41%,60,0.047335,-1.325,0.000339049,300W Xe lamp,High (>300W),90.83%,4,0.96845,-0.01392,Photo-PMS,10.1016/j.cej.2025.162623
Iron,55.845,Imine-based COFs,MOF/COF,0.20%,O,,200,-0.027,Thiamethoxam,THI,Pesticide,291.71,5,-0.636,200,0.023,PMS,0,1,1,1,0,1,0.0402,0.05,93.09%,60,0.037127,-1.43,0.000265932,300W Xe lamp,High (>300W),90.83%,4,0.96845,-0.01392,Photo-PMS,10.1016/j.cej.2025.162623
Copper,63.546,Molybdenum disulfide (MoS2),Metal Sulfides,,,,150,-0.246,Tetracycline,TC,Antibiotic,444.43,20,0.06,1540,5.853,PMS,1,0,1,1,1,0,0.052,NIL,98.50%,60,NIL,NIL,0.000738774,No Light,No Light,,,,,PMS,10.1016/j.jece.2024.112559
Cobalt,58.933,N-doped porous carbon,Carbon,2.25%,Mixed,4,50,-0.684,Carbamazepine,CBZ,Pharmaceutical,236.27,5,-0.636,152,-0.186,PMS,1,1,1,0,1,0,1.25,0.018,99%,5,0.219499,-0.659,0.004190122,No Light,No Light,96.80%,5,0.9919,-0.00353,PMS,10.1016/j.cej.2023.145377
Iron,55.845,N-doped nanoplate carbon,Carbon,2.45%,N,4,50,-0.684,p-Nitrophenol,PNP,Phenolic,139.11,20,0.06,152,-0.186,PMS,1,1,1,1,1,0,0.302,0.081,99%,5,1.297732,0.113,0.028466681,No Light,No Light,65%,3,0.80623,-0.09354,PMS,10.1016/j.apsusc.2022.153124
Nickel,58.693,Carbon Nitride,Carbon Nitride,0.52%,Mixed,7.2,400,0.848,Tetracycline,TC,Antibiotic,444.43,20,0.06,0,-0.847,No Oxidant,0,0,0,1,0,0,0.01572,0.331,89.40%,120,0.00946,-2.024,0.000335261,300W Xe lamp,High (>300W),100%,5,1,0,Photocatalysis,10.1016/j.cej.2022.137379
Cobalt,58.933,N-doped porous carbon,Carbon,,Mixed,3,60,-0.64,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,121,-0.321,PMS,1,1,1,0,1,0,0.35,NIL,100%,20,NIL,NIL,0.003018048,No Light,No Light,,,,,PMS,10.1016/j.jcis.2025.02.110
Cobalt,58.933,N-doped porous carbon,Carbon,,Mixed,3,60,-0.64,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,121,-0.321,PMS,1,1,1,0,1,0,0.436,NIL,100%,15,NIL,NIL,0.004024064,No Light,No Light,,,,,PMS,10.1016/j.jcis.2025.02.110
Cobalt,58.933,N-doped porous carbon,Carbon,,Mixed,3,60,-0.64,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,121,-0.321,PMS,1,1,1,0,1,0,0.268,NIL,100%,30,NIL,NIL,0.002012032,No Light,No Light,,,,,PMS,10.1016/j.jcis.2025.02.110
Cobalt,58.933,N-doped porous carbon,Carbon,,Mixed,3,60,-0.64,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,121,-0.321,PMS,1,1,1,0,1,0,0.321,NIL,100%,20,NIL,NIL,0.003018048,No Light,No Light,,,,,PMS,10.1016/j.jcis.2025.02.110
Cobalt,58.933,N-doped porous carbon,Carbon,,Mixed,3,60,-0.64,Ciprofloxacin,CIP,Antibiotic,331.34,20,0.06,121,-0.321,PMS,1,1,1,0,1,0,0.37,NIL,100%,15,NIL,NIL,0.004024064,No Light,No Light,,,,,PMS,10.1016/j.jcis.2025.02.110
Cobalt,58.933,N-doped porous carbon,Carbon,2.45%,N,3.29,50,-0.684,Naproxen,NPX,Pharmaceutical,230.26,10,-0.404,76,-0.516,PMS,1,1,1,0,1,0,0.241,0.102,100%,20,0.104466,-0.981,0.002171458,No Light,No Light,100%,4,1,0,PMS,10.1016/j.apcatb.2021.119910
Silver,107.87,Carbon Nitride,Carbon Nitride,0.60%,N,,833,2.744,Tetracycline,TC,Antibiotic,444.43,20,0.06,0,-0.847,No Oxidant,0,0,1,1,1,1,,NIL,64.29%,180,0.003469,-2.46,0.00016073,300W Xe lamp,High (>300W),77%,3,0.8775,-0.05675,Photocatalysis,10.1016/j.materresbull.2023.112553
Silver,107.87,Carbon Nitride,Carbon Nitride,0.60%,N,,833,2.744,Rhodamine B,RhB,Dye,479.02,10,-0.404,0,-0.847,No Oxidant,0,0,1,1,1,1,0.0144,0.417,93.49%,180,0.00234,-2.631,0.000108427,300W Xe lamp,High (>300W),77%,3,0.8775,-0.05675,Photocatalysis,10.1016/j.materresbull.2023.112553
Iron,55.845,"O, N-doped Graphite Carbon Nitride (g-C3N4)",Carbon Nitride,1.32%,Mixed,1.2,200,-0.027,Sulfathiazole,STZ,Antibiotic,255.32,2,-0.776,60.8,-0.583,PMS,1,1,1,1,1,0,0.14,0.094,100%,25,0.006628,-2.179,0.000313332,No Light,No Light,90.70%,4,0.96799,-0.01413,PMS,10.1016/j.cej.2026.172581 
Silver,107.87,Mesopourous Graphitic Carbon Nitride (g-C3N4),Carbon Nitride,10%,N,,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,20,0.06,615,1.829,PMS,0,1,0,1,0,1,,NIL,100%,0.1,9.450261,0.975,0.876078672,300W Xe lamp,High (>300W),76%,4,0.91258,-0.03973,Photo-PMS,10.1016/j.apcatb.2017.03.079
Cobalt,58.933,P-doped Carbon Nitride (C3N5),Carbon Nitride,8.16%,Mixed,4,100,-0.465,"2,4,4′-trichlorobiphenyl",PCB28,Industrial Pollutant,257.54,0.5,-0.845,616,1.833,PMS,1,1,1,0,1,0,0.1379,0.592,95.50%,20,0.00067,-3.174,0.000092704,No Light,No Light,95%,4,0.98305,-0.00743,PMS,10.1016/j.jhazmat.2023.131480
Cobalt,58.933,P-doped Carbon Nitride (C3N5),Carbon Nitride,8.16%,Mixed,4,100,-0.465,Sulfamethoxazole,SMX,Antibiotic,253.28,22.4,0.172,616,1.833,PMS,1,1,1,1,1,1,,NIL,100%,1,0.638727,-0.195,0.088439672,No Light,No Light,95%,5,0.98726,-0.00557,PMS,10.1016/j.jhazmat.2023.131480
Cobalt,58.933,P-doped Carbon Nitride (C3N5),Carbon Nitride,8.16%,Mixed,4,100,-0.465,Diethyl Phthalate,DEP,Industrial Pollutant,222.24,10,-0.404,616,1.833,PMS,1,1,1,1,1,1,,NIL,100%,5,0.064994,-1.187,0.00899928,No Light,No Light,95%,6,0.98979,-0.00446,PMS,10.1016/j.jhazmat.2023.131480
Cobalt,58.933,P-doped Carbon Nitride (C3N5),Carbon Nitride,8.16%,Mixed,4,100,-0.465,4-Chlorophenol,4-CP,Phenolic,128.56,130.5,5.193,616,1.833,PMS,1,1,1,1,1,1,,NIL,100%,5,1.466233,0.166,0.203018046,No Light,No Light,95%,7,0.99149,-0.00371,PMS,10.1016/j.jhazmat.2023.131480
Cobalt,58.933,P-doped Carbon Nitride (C3N5),Carbon Nitride,8.16%,Mixed,4,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,228.3,9.736,616,1.833,PMS,1,1,1,1,1,1,,NIL,100%,5,1.4445,0.16,0.200008761,No Light,No Light,95%,8,0.9927,-0.00318,PMS,10.1016/j.jhazmat.2023.131480
Copper,63.546,Carbon Nitride,Carbon Nitride,25.64%,N,2.2,100,-0.465,Tetracycline,TC,Antibiotic,444.43,20,0.06,240,0.197,Persulfate (PS),0,1,1,1,1,1,0.003,85.467,82.40%,40,0.002298,-2.639,0.00092703,10W LED,Low (<50W),,,,,Photo-PMS,10.1016/j.jhazmat.2022.128398
Iron,55.845,Carbon Nitride,Carbon Nitride,14.00%,N,5.1,667,2.018,Glucose,GLU,Biomass,180.16,9,-0.451,152,-0.186,PMS,1,1,1,1,1,1,,NIL,36%,30,0.000359,-3.446,0.000599467,300W Xe lamp,High (>300W),86%,5,0.963,-0.01638,Photo-PMS,10.1016/j.jcat.2023.115257
Iron,55.845,Carbon Nitride,Carbon Nitride,0.59%,N,4.1,100,-0.465,Carbamazepine,CBZ,Pharmaceutical,236.27,6,-0.59,30,-0.717,PMS,0,1,1,1,1,0,0.35,0.017,100%,12,0.200306,-0.698,0.002116223,1800W Xe lamp,High (>300W),98%,9,0.99748,-0.0011,Photo-PMS,10.1016/j.jece.2025.117359
Iron,55.845,P-doped Carbon Nitride (C3N5),Carbon Nitride,3.34%,Mixed,5,100,-0.465,Sulfadiazine,SDZ,Antibiotic,250.28,20,0.06,200,0.023,PMS,1,1,1,1,1,0,3.54,0.009,98.60%,10,0.13174,-0.88,0.007879175,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2025.125967
Cobalt,58.933,Molybdenum disulfide (MoS2),Metal Sulfides,1.08%,S,,300,0.411,Bisphenol A,BPA,Phenolic,228.29,20,0.06,9.1,-0.807,PMS,0,1,1,1,1,1,,NIL,53.79%,15,0.057144,-1.243,0.003141618,50W Tungsten lamp,Medium (50-300W),84%,3,0.91652,-0.03786,Photo-PMS,10.1016/j.jece.2022.107449
Cobalt,58.933,Molybdenum disulfide (MoS2),Metal Sulfides,1.08%,S,,300,0.411,Rhodamine B,RhB,Dye,479.02,50,1.454,9.1,-0.807,PMS,0,1,1,1,1,1,0.261,0.041,98%,21,0.088601,-1.053,0.004871056,50W Tungsten lamp,Medium (50-300W),84%,3,0.91652,-0.03786,Photo-PMS,10.1016/j.jece.2022.107449
Cobalt,58.933,Molybdenum disulfide (MoS2),Metal Sulfides,1.08%,S,,300,0.411,Tetracycline,TC,Antibiotic,444.43,20,0.06,9.1,-0.807,PMS,0,1,1,1,1,1,,NIL,76.45%,15,0.041718,-1.38,0.002293575,50W Tungsten lamp,Medium (50-300W),84%,3,0.91652,-0.03786,Photo-PMS,10.1016/j.jece.2022.107449
Cobalt,58.933,Carbon Nitride,Carbon Nitride,1.19%,N,4.1,100,-0.465,Paracetamol,APAP,Pharmaceutical,151.16,20,0.06,121,-0.321,PMS,1,0,0,0,1,1,0.488,0.024,100%,30,0.217866,-0.662,0.004410338,No Light,No Light,85%,15,0.98846,-0.00504,PMS,10.1016/j.apcatb.2026.126432
Iron,55.845,Graphite Carbon Nitride (g-C3N4) and montmorillonite,Heterostructure,0.93%,N,4,250,0.192,Paracetamol,APAP,Pharmaceutical,151.16,40,0.989,107,-0.382,PMS,1,1,1,1,1,0,1.4404,0.006,100%,6,1.065061,0.027,0.044103378,Visible light 420nm,High (>300W),97.70%,15,0.99834,-0.00072,Photo-PMS,10.1016/j.watres.2025.124420
Lanthanum,138.91,Carbon Nitride,Carbon Nitride,9.00%,N,4.1,500,1.286,Acetaminophen,ACE,Pharmaceutical,151.16,5,-0.636,310,0.502,PMS,1,1,1,1,1,0,0.136,0.662,93.20%,20,0.004758,-2.323,0.001541413,10W LED,Low (<50W),,,,,Photo-PMS,10.1016/j.xcrp.2024.102170
Iron,55.845,N-doped porous carbon,Carbon,2.32%,Mixed,,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,20,0.06,200,0.023,PMS,1,0,0,1,1,0,,NIL,100%,60,0.035147,-1.454,0.001460131,No Light,No Light,64%,4,0.86177,-0.06461,PMS,10.1039/D2EN01156E 
Iron,55.845,Carbon Nitride,Carbon Nitride,0.46%,Mixed,3,20,-0.815,Bisphenol A,BPA,Phenolic,228.29,20,0.06,113,-0.355,PMS,1,0,0,0,1,0,2.52,0.002,100%,2,26.589464,1.425,0.043803934,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2022.121536
Iron,55.845,Carbon Nitride,Carbon Nitride,0.46%,Mixed,3,20,-0.815,Atrazine,ATZ,Pesticide,215.68,20,0.06,113,-0.355,PMS,1,0,0,0,1,0,0.0167,0.275,100%,60,0.938135,-0.028,0.0015455,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2022.121536
Iron,55.845,N-doped porous carbon,Carbon,0.49%,N,3,50,-0.684,Methylparaben,MeP,Pharmaceutical,152.15,12,-0.311,300,0.458,PMS,1,0,0,0,0,0,0.182,0.027,99.70%,60,0.298725,-0.525,0.001310549,No Light,No Light,33.80%,3,0.58138,-0.23554,PMS,10.1016/j.cej.2025.160462
Copper,63.546,Covalent Organic Frameworks (COFs),MOF/COF,5.80%,Mixed,,200,-0.027,Carbamazepine,CBZ,Pharmaceutical,236.27,10,-0.404,190,-0.02,PMS,0,1,1,1,0,1,0.322,0.18,98%,40,0.005681,-2.246,0.001036949,300W Xe lamp,High (>300W),92%,5,0.97937,-0.00905,Photo-PMS,10.1039/D4TA04418E
Iron,55.845,Carbon Nitride,Carbon Nitride,6.10%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,22.8,0.19,152,-0.186,PMS,1,0,0,0,0,0,2.7,0.023,100%,2,0.228582,-0.641,0.049936484,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2023.122706
Iron,55.845,Carbon Nitride,Carbon Nitride,6.10%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,22.8,0.19,152,-0.186,PMS,1,0,0,0,0,0,,NIL,100%,1,0.457164,-0.34,0.099872969,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2023.122706
Iron,55.845,Carbon Nitride,Carbon Nitride,6.10%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,22.8,0.19,152,-0.186,PMS,1,0,0,0,0,0,,NIL,80%,3,0.121911,-0.914,0.026632792,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2023.122706
Iron,55.845,Carbon Nitride,Carbon Nitride,6.10%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,22.8,0.19,152,-0.186,PMS,1,0,0,0,0,0,,NIL,84%,3,0.128006,-0.893,0.027964431,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2023.122706
Iron,55.845,Carbon Nitride,Carbon Nitride,6.10%,N,4,200,-0.027,Bisphenol A,BPA,Phenolic,228.29,22.8,0.19,152,-0.186,PMS,1,0,0,0,0,0,,NIL,100%,1,0.457164,-0.34,0.099872969,No Light,No Light,,,,,PMS,10.1016/j.apcatb.2023.122706
Manganese,54.938,N-doped carbon black,Carbon,3.50%,N,4,100,-0.465,Carbamazepine,CBZ,Pharmaceutical,236.27,10,-0.404,500,1.328,PMS,1,1,1,1,1,0,0.083,0.422,91.70%,30,0.020307,-1.692,0.001293718,No Light,No Light,100%,3,1,0,PMS,10.1016/j.apcatb.2025.125337
Ruthenium,101.07,N-doped porous carbon,Carbon,0.35%,N,4,100,-0.465,Orange II,O-II,Dye,350.32,50,1.454,1000,3.504,PMS,1,1,1,0,1,0,0.96,0.004,100%,6,6.86923,0.837,0.023787775,No Light,No Light,100%,6,1,0,PMS,10.1016/j.apcatb.2022.121952
Ruthenium,101.07,N-doped porous carbon,Carbon,0.35%,N,4,100,-0.465,Methylene Blue,MB,Dye,319.85,50,1.454,1000,3.504,PMS,1,1,1,0,1,0,,NIL,100%,4,11.285424,1.053,0.039080819,No Light,No Light,100%,7,1,0,PMS,10.1016/j.apcatb.2022.121952
Ruthenium,101.07,N-doped porous carbon,Carbon,0.35%,N,4,100,-0.465,Rhodamine B,RhB,Dye,479.02,50,1.454,1000,3.504,PMS,1,1,1,0,1,0,,NIL,100%,8,3.767737,0.576,0.013047472,No Light,No Light,100%,8,1,0,PMS,10.1016/j.apcatb.2022.121952
Ruthenium,101.07,N-doped porous carbon,Carbon,0.35%,N,4,100,-0.465,Bisphenol A,BPA,Phenolic,228.29,50,1.454,1000,3.504,PMS,1,1,1,0,1,0,,NIL,100%,10,6.324662,0.801,0.021901967,No Light,No Light,100%,9,1,0,PMS,10.1016/j.apcatb.2022.121952
Ruthenium,101.07,N-doped porous carbon,Carbon,0.35%,N,4,100,-0.465,Phenol,PE,Phenolic,94.11,50,1.454,1000,3.504,PMS,1,1,1,0,1,0,,NIL,100%,10,15.342229,1.186,0.053129317,No Light,No Light,100%,10,1,0,PMS,10.1016/j.apcatb.2022.121952
Copper,63.546,N/S-doped carbon,Carbon,5.67%,Mixed,4,200,-0.027,Oxytetracycline,OTC,Antibiotic,460.43,10,-0.404,9.5,-0.806,PMS,1,0,1,1,1,0,0.066,0.859,95.50%,45,0.002583,-2.588,0.000460922,No Light,No Light,65%,3,0.80623,-0.09354,PMS,10.1016/j.cej.2025.159513
Iron,55.845,N-doped porous carbon,Carbon,0.65%,N,4.3,166,-0.176,4-Chlorophenol,4-CP,Phenolic,128.56,100,3.776,333,0.602,PMS,1,0,0,1,1,0,3.9,0.002,100%,10,4.025844,0.605,0.077784692,No Light,No Light,100%,4,1,0,PMS,10.1021/acsestengg.5c00007
Copper,63.546,N-doped carbon silicon nanospheres (NCSNs),Carbon,1.47%,N,3.6,500,1.286,Phenazopyridine hydrochloride,PhH,Pharmaceutical,249.7,20,0.06,300,0.458,PMS,0,0,0,1,1,1,,NIL,96.86%,12,0.055895,-1.253,0.006465091,300W Xe lamp,High (>300W),48%,5,0.83236,-0.07969,Photo-PMS,10.1007/s10854-024-12094-6
